d3mIndex,year,sd,observations,sunspots
0,1,9.2,213,53
1,1,7.9,249,39
2,1,6.4,224,24
3,1,4.2,304,9
4,1,3.7,353,6
5,1,2.7,302,2
6,1,4.6,194,11
7,1,6.8,310,28
8,1,9.8,320,60
9,1,11.6,321,83
10,1,13.2,301,109
11,1,13.6,291,115
12,1,13.7,268,117
13,1,11.4,285,81
14,1,8.5,277,44
15,1,4.9,292,13
16,1,5.8,260,20
17,1,11.8,173,86
18,1,17.6,166,193
19,1,19.1,150,227
20,1,16.5,201,169
21,1,15.1,194,143
22,1,13,248,106
23,1,10.1,277,63
24,1,8.1,311,40
25,1,5.6,320,18
26,1,6.5,294,25
27,1,10.3,265,66
28,1,12.8,247,103
29,1,16.3,232,166
30,1,18.3,234,208
31,1,16.6,365,183
32,1,13.7,365,126
33,1,13.4,365,122
34,1,12.3,366,103
35,1,10.4,365,74
36,1,7.5,365,39
37,1,4.3,365,13
38,1,3.4,366,8
39,1,8,365,43
40,1,12.4,365,104
41,1,16.3,365,178
42,1,16.5,366,182
43,1,14.8,365,147
44,1,12.9,365,112
45,1,11.1,365,84
46,1,11.5,366,89
47,1,9.2,365,58
48,1,6.7,365,31
49,1,4.5,365,14
50,1,8.9,366,63
51,1,12.5,365,124
52,1,17.1,365,232
53,1,15.3,365,185
54,1,14.6,366,169
55,1,11.8,365,110
56,1,9.7,365,75
57,1,6.1,365,28
58,1,5.1,366,19
59,1,5.3,365,21
60,1,3.2,365,6
61,1,3.9,365,10
62,1,8.3,366,54
63,1,10.7,365,91
64,1,11.2,365,99
65,1,11.6,365,106
66,1,11.6,366,106
67,1,10.5,365,86
68,1,7.4,365,42
69,1,5.4,365,22
70,1,4,366,11
71,1,3.9,365,10
72,1,4.1,365,12
73,1,8.7,365,60
74,1,12.4,366,122
75,1,10.6,365,142
76,1,10.2,365,130
77,1,9.2,365,107
78,1,7.4,366,69
79,1,5.9,365,44
80,1,6,365,44
81,1,4.1,365,20
82,1,3.8,365,16
83,1,2.6,365,5
84,1,3.1,365,9
85,1,5.7,365,41
86,1,7.5,366,70
87,1,9.2,365,106
88,1,8.5,365,90
89,1,9,365,103
90,1,8,366,81
91,1,7.6,365,73
92,1,5,365,31
93,1,3.1,365,10
94,1,2.7,366,6
95,1,2.3,365,2
96,1,3.8,365,16
97,1,7.9,365,79
98,1,8.7,366,95
99,1,11.8,365,174
100,1,10.3,365,135
101,1,9.2,365,106
102,1,7.1,366,63
103,1,5.9,365,44
104,1,4.5,365,24
105,1,3.1,365,10
106,1,4.8,366,28
107,1,7.7,365,74
108,1,9.2,365,107
109,1,9.5,365,115
110,1,10.2,366,130
111,1,9.3,365,108
112,1,6.9,365,59
113,1,5.3,365,35
114,1,4,366,19
115,1,3.2,365,9
116,1,3.6,365,15
117,1,6.9,365,60
118,1,10.3,366,133
119,1,12.3,365,191
120,1,12.1,365,183
121,1,10.8,365,148
122,1,9.5,366,113
123,1,7.9,365,79
124,1,6.4,365,51
125,1,4.7,365,27
126,1,3.8,366,16
127,1,6.6,365,55
128,1,11.1,365,154
129,1,9.8,365,215
130,1,9.3,366,193
131,1,9.2,365,191
132,1,7.3,365,119
133,1,6.6,365,98
134,1,4.5,366,45
135,1,3,365,20
136,1,1.7,365,7
137,1,4.9,365,54
138,1,9.5,366,201
139,1,11,365,269
140,1,10.8,365,262
141,1,10,365,225
142,1,8.4,366,159
143,1,5.8,365,76
144,1,4.9,365,53
145,1,4.2,365,40
146,1,2.6,366,15
147,1,3.2,365,22
148,1,5.4,365,67
149,1,7.7,365,133
150,1,8.2,366,150
151,1,8.2,365,149
152,1,8.1,365,148
153,1,6.5,365,94
154,1,6.6,366,98
155,1,4.9,365,54
156,1,4.7,365,49
157,1,3.2,365,23
158,1,2.9,366,18
159,1,4.2,365,39
160,1,7.6,365,131
161,1,9.9,365,220
162,1,9.9,366,219
163,1,13.1,3049,199
164,1,12.1,3436,162
165,1,7.6,4216,91
166,1,5.9,5103,61
167,1,3.7,5543,21
168,1,3.5,5934,15
169,1,3.7,6396,34
170,1,8.4,6556,123
171,1,12.8,6932,211
172,1,11.2,7108,192
173,1,12.7,6932,203
174,1,8.9,7845,133
175,1,5.8,8010,76
176,1,4.4,8524,45
177,1,3.7,8429,25
178,1,3.1,7614,12
179,1,3.6,7294,29
180,1,6.6,6353,88
181,1,9.3,6413,136
182,1,10.1,5953,174
183,1,10.5,6558,170
184,1,9.8,6588,164
185,1,7.1,7087,99
186,1,5.9,6882,65
187,1,4.7,7084,46
188,1,3.5,6370,25
189,1,2.7,6841,13
190,1,2.5,6644,4
191,1,2.5,6465,5
192,1,3.4,6328,25
193,1,6.7,6077,81
194,1,6.7,5753,85
195,1,6.9,5347,94
196,1,8,5273,113
197,1,6.4,8903,70
198,1,3.9,9940,40
199,1,2.5,11444,22
200,1,1.1,12250,7
